company_name,detected_ats,slug_used,jobs_found,careers_url,probe_time_ms,status
Zscaler India,greenhouse,zscaler,327,https://job-boards.greenhouse.io/zscaler,7317,found
Cloudflare,greenhouse,cloudflare,152,https://job-boards.greenhouse.io/cloudflare,643,found
Stripe India,greenhouse,stripe,469,https://job-boards.greenhouse.io/stripe,5321,found
Twilio,greenhouse,twilio,146,https://job-boards.greenhouse.io/twilio,1215,found
MongoDB India,greenhouse,mongodb,426,https://job-boards.greenhouse.io/mongodb,5329,found
Elastic India,greenhouse,elastic,156,https://job-boards.greenhouse.io/elastic,4670,found
Confluent,ashby,confluent,48,https://jobs.ashbyhq.com/confluent,4157,found
Databricks India,greenhouse,databricks,754,https://job-boards.greenhouse.io/databricks,4459,found
HashiCorp,freshteam,hashicorp,-1,https://hashicorp.freshteam.com/jobs,6329,found
Grafana Labs,greenhouse,grafanalabs,136,https://job-boards.greenhouse.io/grafanalabs,5654,found
Datadog,greenhouse,datadog,422,https://job-boards.greenhouse.io/datadog,6221,found
New Relic,greenhouse,newrelic,71,https://job-boards.greenhouse.io/newrelic,5727,found
Sumo Logic,greenhouse,sumologic,47,https://job-boards.greenhouse.io/sumologic,5897,found
PagerDuty,greenhouse,pagerduty,44,https://job-boards.greenhouse.io/pagerduty,1067,found
OpsRamp,freshteam,opsramp,-1,https://opsramp.freshteam.com/jobs,3136,found
Cribl,greenhouse,cribl,51,https://job-boards.greenhouse.io/cribl,2624,found
Harness,freshteam,harness,-1,https://harness.freshteam.com/jobs,4293,found
Snyk,freshteam,snyk,-1,https://snyk.freshteam.com/jobs,4793,found
JFrog,greenhouse,jfrog,106,https://job-boards.greenhouse.io/jfrog,4476,found
Mend (WhiteSource),freshteam,mend-whitesource,-1,https://mend-whitesource.freshteam.com/jobs,6634,found
Lacework,freshteam,lacework,-1,https://lacework.freshteam.com/jobs,6899,found
Wiz,freshteam,wiz,-1,https://wiz.freshteam.com/jobs,1348,found
Orca Security,greenhouse,orcasecurity,16,https://job-boards.greenhouse.io/orcasecurity,6016,found
GitLab India,greenhouse,gitlab,159,https://job-boards.greenhouse.io/gitlab,6102,found
GitHub India,freshteam,github-india,-1,https://github-india.freshteam.com/jobs,2998,found
CircleCI,greenhouse,circleci,10,https://job-boards.greenhouse.io/circleci,2894,found
Codefresh,freshteam,codefresh,-1,https://codefresh.freshteam.com/jobs,4352,found
Buildkite,greenhouse,buildkite,14,https://job-boards.greenhouse.io/buildkite,4353,found
Linear,ashby,linear,26,https://jobs.ashbyhq.com/linear,5046,found
Notion,ashby,notion,144,https://jobs.ashbyhq.com/notion,6142,found
Airtable,greenhouse,airtable,26,https://job-boards.greenhouse.io/airtable,5666,found
Figma India,greenhouse,figma,159,https://job-boards.greenhouse.io/figma,5037,found
Canva India,smartrecruiters,canva,296,https://careers.smartrecruiters.com/canva,3485,found
Miro India,freshteam,miro-india,-1,https://miro-india.freshteam.com/jobs,3029,found
Loom,freshteam,loom,-1,https://loom.freshteam.com/jobs,3312,found
Grammarly,freshteam,grammarly,-1,https://grammarly.freshteam.com/jobs,4339,found
Duolingo India,greenhouse,duolingo,59,https://job-boards.greenhouse.io/duolingo,5012,found
Coursera India,greenhouse,coursera,10,https://job-boards.greenhouse.io/coursera,7226,found
Udemy India,greenhouse,udemy,7,https://job-boards.greenhouse.io/udemy,5591,found
GitLab,greenhouse,gitlab,159,https://job-boards.greenhouse.io/gitlab,5490,found
Automattic,freshteam,automattic,-1,https://automattic.freshteam.com/jobs,7217,found
Canonical (Ubuntu),greenhouse,canonical,288,https://job-boards.greenhouse.io/canonical,8008,found
Zapier,ashby,zapier,22,https://jobs.ashbyhq.com/zapier,983,found
Buffer,ashby,buffer,1,https://jobs.ashbyhq.com/buffer,1871,found
Doist,freshteam,doist,-1,https://doist.freshteam.com/jobs,4294,found
Basecamp,personio,basecamp,4,https://basecamp.jobs.personio.de/,5655,found
Toggl,freshteam,toggl,-1,https://toggl.freshteam.com/jobs,6354,found
Hotjar,freshteam,hotjar,-1,https://hotjar.freshteam.com/jobs,7092,found
Whereby,lever,whereby,1,https://jobs.lever.co/whereby,8269,found
Remotecom (Remote.com),greenhouse,remotecom,257,https://job-boards.greenhouse.io/remotecom,3593,found
Deel,ashby,deel,69,https://jobs.ashbyhq.com/deel,9196,found
Oyster HR,ashby,oyster,10,https://jobs.ashbyhq.com/oyster,5165,found
Multiplier,rippling,multiplier,1,https://ats.rippling.com/multiplier/jobs,1809,found
